benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
06d96f79264e9991a5a0a417c401657a-g2-mult1.c.50.smt2-cvc4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
362cbce11ea1e1f0c18280161d51d2c8-gensys-brn001.shuffled-as.sat05-3127.cnf.xz,0.02,0.03,0.02,0.01
bd434e301a36de29ccf1ce7d6343b887-mrpp_8x8#24_24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0a819f7ad46f70de5a184784da303f5e-VanDerWaerden_pd_2-3-21_399.cnf.xz,0.5,8.33,204.23,1.9
796aa4fc486e799b3a9b0c3d47300355-clqcolor-25-16-17.shuffled-as.sat05-1255.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9962b2bcc448d1dd5be737b32620a2b8-instance_n7_i7_pp_ci_ce.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
6056d23661518b3a7519de585f9b6da1-Schur_160_5_d39.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
deae318eae938b98b190860658887932-g2-hwmcc15deep-6s399b02-k02.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ad131fabdd0869cc63a1d5dec1f01b14-rovers2_v01i.shuffled-as.sat05-4045.cnf.xz,0,0,0.01,0.04
b5431f41e3264c64508c30da215c69c6-mod2c-rand3bip-sat-250-3.shuffled-as.sat05-2535.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
5acb0010b114a60999489cec31f0a667-gensys-ukn003.shuffled-as.sat05-3346.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
068c64314f0f8405bc28bb4c52647145-sokoban-p20.sas.cr.27.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
27f890d3aa346aaa55a31b63ebd4952c-sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
21740843d60acdfd70276cdfd634bebe-edn_2948_14.cnf_0.97000000.unsat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c572eb6c8c0fdbaca952b43d5582cc07-sokoban-sequential-p145-microban-sequential.060-NOTKNOWN.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b5ad69530f80d1c9a323491ad4efc169-mp1-blockpuzzle_7x10_s10_free4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
7e8cd205be140936b35d713db474a2be-rbsat-v1150c84314gyes7.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,1561.73
a2fb13561dbe3b931305df00e84db0da-ferry12u.shuffled-as.sat03-383.cnf.xz,TIMEOUT,8.38,TIMEOUT,TIMEOUT
69962272968e0a3a280479582308770c-gensys-ukn009.shuffled-as.sat05-3588.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
05c5ff612371a5773e857212174f625b-ezfact64_9.shuffled-as.sat03-1525.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
